county,Relation,Year,Median Rent (SEK),Map Label
Stockholm county,54391,2021,112.0,Median Cost: 112 SEK
Uppsala county,54220,2021,105.0,Median Cost: 105 SEK
Södermanland county,54386,2021,94.0,Median Cost: 94 SEK
Östergötland county,940675,2021,96.0,Median Cost: 96 SEK
Jönköping county,54374,2021,86.0,Median Cost: 86 SEK
Kronoberg county,54412,2021,86.0,Median Cost: 86 SEK
Kalmar county,54417,2021,84.0,Median Cost: 84 SEK
Gotland county,941530,2021,98.0,Median Cost: 98 SEK
Blekinge county,54413,2021,90.0,Median Cost: 90 SEK
Skåne county,54409,2021,100.0,Median Cost: 100 SEK
Halland county,54403,2021,96.0,Median Cost: 96 SEK
Västra Götaland county,54367,2021,95.0,Median Cost: 95 SEK
Värmland county,54223,2021,85.0,Median Cost: 85 SEK
Örebro county,54222,2021,93.0,Median Cost: 93 SEK
Västmanland county,54221,2021,90.0,Median Cost: 90 SEK
Dalarna county,52834,2021,86.0,Median Cost: 86 SEK
Gävleborg county,52832,2021,87.0,Median Cost: 87 SEK
Västernorrland county,52827,2021,89.0,Median Cost: 89 SEK
Jämtland county,52826,2021,81.0,Median Cost: 81 SEK
Västerbotten county,52825,2021,86.0,Median Cost: 86 SEK
Norrbotten county,52824,2021,82.0,Median Cost: 82 SEK
