county,Relation,Year,Median Rent (SEK),Map Label
Jämtland county,52826,2020,945.0,Median Cost: 945 SEK
Västerbotten county,52825,2020,1010.0,Median Cost: 1010 SEK
Norrbotten county,52824,2020,963.0,Median Cost: 963 SEK
Stockholm county,54391,2021,1336.0,Median Cost: 1336 SEK
Uppsala county,54220,2021,1255.0,Median Cost: 1255 SEK
Södermanland county,54386,2021,1122.0,Median Cost: 1122 SEK
Östergötland county,940675,2021,1148.0,Median Cost: 1148 SEK
Jönköping county,54374,2021,1031.0,Median Cost: 1031 SEK
Kronoberg county,54412,2021,1027.0,Median Cost: 1027 SEK
Kalmar county,54417,2021,1002.0,Median Cost: 1002 SEK
Gotland county,941530,2021,1162.0,Median Cost: 1162 SEK
Blekinge county,54413,2021,1079.0,Median Cost: 1079 SEK
Skåne county,54409,2021,1194.0,Median Cost: 1194 SEK
Halland county,54403,2021,1147.0,Median Cost: 1147 SEK
Västra Götaland county,54367,2021,1133.0,Median Cost: 1133 SEK
Värmland county,54223,2021,1014.0,Median Cost: 1014 SEK
Örebro county,54222,2021,1116.0,Median Cost: 1116 SEK
Västmanland county,54221,2021,1080.0,Median Cost: 1080 SEK
Dalarna county,52834,2021,1034.0,Median Cost: 1034 SEK
Gävleborg county,52832,2021,1043.0,Median Cost: 1043 SEK
Västernorrland county,52827,2021,1061.0,Median Cost: 1061 SEK
Jämtland county,52826,2021,975.0,Median Cost: 975 SEK
Västerbotten county,52825,2021,1033.0,Median Cost: 1033 SEK
Norrbotten county,52824,2021,985.0,Median Cost: 985 SEK
